time_numeric,Sea_Ice_Concentration,NAO,AO,ENSO,solar_radiation,Central Arctic,Chukchi Sea,East Siberian Sea,Beaufort Sea,Canadian Archipelago,Laptev Sea,Kara Sea,Barents Sea
1990.333333,-0.0048987,-2.91,0.054,0.96,-8486.3,-0.016350524,-0.018888889,-0.170024747,-0.011820276,0.00328984,-0.057555759,-0.034314386,-0.057454905
1990.416667,-0.0086195,0.25,-0.041,0.51,-15826.1,-0.000747784,-0.017083014,-0.198258718,-0.05106682,0.017270588,-0.096493601,-0.023566316,-0.082712311
1990.5,-0.0091801,-0.44,-1.162,0.66,23902.38,-0.029908139,-0.060939974,-0.194983127,-0.040585253,0.029192157,-0.135778793,-0.030526316,-0.062151415
1990.583333,-0.00645214,0.96,-0.731,0.75,564.67,0.00239162,-0.017885057,-0.190897638,0.121587558,0.042529768,-0.180795247,-0.073597193,-0.027295589
1990.666667,-0.0036429,-0.99,-0.913,0.52,4334.71,0.013237712,-0.015106003,-0.091727784,0.081172811,0.04720713,-0.101223035,-0.048705965,-0.032254115
1990.75,-0.00245015,0.26,-0.331,0.61,2527.925,0.025252216,-0.04603576,-0.087592801,0.052320276,0.011843137,-0.09997989,0.025406316,-0.06961027
1990.833333,0.0018184,-0.4,0.487,0.55,188.87,0.034730056,-0.051501916,-0.000233971,-0.007781106,0.001060963,0.010464351,0.104710175,-0.009440421
1990.916667,-0.00174477,1.37,1.921,0.48,-261.8479,0.008978243,0.016247765,0.010605174,0.00868894,-0.003217112,0.008219378,0.038049123,-0.031481238
1991,-0.0033007,-0.18,-0.278,0.48,485.8453,0.022549557,-0.01099106,0.000872891,0.000308756,-0.007152941,0.004718464,-0.001755789,-0.019631336
1991.083333,-0.00311206,-0.37,-4.278,0.11,1482.946,0.026178082,-0.00594636,0.004940382,0.001836406,-0.004260963,0.006435101,-0.001302456,0.01157472
1991.166667,-0.001484,-1.66,-3.517,-0.01,-4624.51,0.010867043,-0.002117497,0.006697413,0.008467742,-0.002190374,0.011263254,0.008978246,0.000955892
1991.25,0.00722587,-1.71,-1.349,0.11,13110.59,0.019318292,0.014163474,0.033138358,0.006428571,0.003654902,0.002511883,0.012819649,0.045486504
1991.333333,0.0069284,1.61,-0.457,0.18,1384.45,0.023660757,0.001841635,0.125286839,-0.068831797,-0.0072,0.031468007,0.046874386,0.097170507
1991.416667,0.0053114,-0.8,-0.419,0.6,-3709.2,-0.003771958,0.020498084,0.209397075,-0.003868664,-0.02408984,0.063458867,0.028196491,0.038708361
1991.5,0.00279986,-1.02,0.108,0.67,-2736.69,-0.013246575,0.086436782,0.228103487,0.078317972,-0.013859537,-0.013129799,0.006634386,0.019066491
1991.583333,0.00256754,0.26,0.977,0.46,-6246.26,-0.050598711,0.098564496,0.175959505,0.092398618,-0.024741533,0.007526508,0.030898246,0.001478604
1991.666667,-0.000131,-0.58,0.098,0.2,-2277.99,-0.039339243,0.081900383,0.104184477,0.071746544,-0.029657041,-0.017341865,-0.04349614,0.000886109
1991.75,0.00010695,-0.42,-0.912,0.65,-2382.715,0.001426269,0.013711367,0.059667042,0.031698157,-0.004148307,0.025941499,-0.034826667,0.041684003
1991.833333,-0.0044618,0.72,-0.236,1.1,140.348,-0.013800161,-0.090393359,-0.056184477,-0.01152765,-0.006096257,-0.008095064,-0.066510877,0.034290981
1991.916667,-0.003329,0.24,0.336,1.34,212.3445,-0.010224819,-0.047920817,-0.025235096,-0.005082949,0.006013547,-0.023672761,-0.025592982,-0.021457538
1992,0.0005752,-0.99,-0.173,1.35,-446.7223,0.010398066,-0.000633461,0.001016873,0.005804147,0.00285205,-0.004709324,-0.004311579,-0.017848585
1992.083333,0.0045493,0.03,1.998,1.46,-1965.413,0.022380338,0.008582375,0.009887514,0.007050691,0.006244563,0.009164534,0.004458947,0.029799868
1992.166667,0.0009947,1.07,1.511,1.35,1583.72,0.005327961,0.012168582,0.009057368,0.001619816,0.006894831,0.002884826,-0.016078596,-0.078480579
1992.25,-0.00045733,1.57,-1.051,1.01,-4614.94,0.000771958,-0.001100894,0.013460067,0.00112212,0.000915508,0.013914077,0.019487719,-0.024925609
1992.333333,-0.0007677,2.55,0.855,0.78,18951.15,-0.009937147,0.031693487,0.025970754,0.091631336,0.002404278,0.026144424,-0.026331228,-0.128069783
1992.416667,0.00363223,1.02,-0.187,0.06,16946.34,-0.001742949,0.021279693,-0.020823397,0.069357143,0.012663102,0.036255941,-0.013350175,-0.041477288
1992.5,0.00566124,0.65,0.379,-0.54,-12416.35,-0.003315874,-0.035315453,-0.102897638,-0.041608295,0.004781462,0.090005484,-0.023612632,0.008100066
1992.583333,0.00273936,-0.38,-0.262,-0.63,8693.56,0.009407736,-0.07750447,-0.02176378,-0.084394009,0.055800357,0.100522852,-0.044126316,0.000804477
1992.666667,0.0101664,-0.92,-0.528,-0.48,-5989.42,0.03809589,0.058546616,0.083732283,0.018831797,0.064075579,0.17409872,0.03613193,0.003202107
1992.75,0.01114146,-1.57,-0.114,-1.16,2194.19,0.019995971,0.148860792,0.13224072,0.109251152,0.0248,0.115866545,0.099994386,0.026315997
1992.833333,0.00571506,0.71,0.432,-1.48,331.375,0.017298147,0.138490421,0.060951631,0.001126728,-0.003352585,0.008106033,0.051835789,-0.013752469
1992.916667,0.006428,0.01,0.014,-1.84,23.9494,0.014908944,0.049139208,0.009545557,-0.001502304,-0.007761854,0.017480804,0.016637193,0.021874918
1993,0.0040086,1.73,2.945,-1.7,462.788,0.007346495,0.005438059,-0.009889764,-0.011663594,-0.003338324,-0.002873857,-0.010694737,0.015000658
1993.083333,0.0007148,-0.57,-0.938,-1.37,887.225,-0.006900081,-0.00291954,-0.009527559,-0.01597235,-0.005165062,-0.005568556,-0.006266667,-0.024601712
1993.166667,0.0039683,-0.2,-0.22,-0.99,1541.58,0.011647059,-0.010275862,-0.020701912,-0.003635945,-0.004839929,-0.011491773,0.001928421,0.075441738
1993.25,0.0027244,-0.89,0.086,-0.61,2662.5,0.005962127,0.005049808,-0.005412823,-0.004241935,-0.007850267,-0.009954296,-0.010818246,0.070412113
1993.333333,-0.0002794,-3.41,-2.948,-0.26,-8600.15,0.006771152,-0.028551724,-0.006407199,-0.051428571,-0.010542602,-0.031151737,0.01733614,0.134901909
1993.416667,-0.00822053,-0.79,-0.218,-0.23,-22229.14,-0.019742143,-0.076607918,0.019689539,-0.163285714,-0.012742959,-0.060829982,-0.063754386,0.074722844
1993.5,-0.0113313,-3.34,-0.702,0.01,-17116.15,-0.022076551,-0.142040868,-0.029968504,-0.231110599,-0.026797861,0.009469835,-0.043211228,0.03798025
1993.583333,-0.00786692,-0.73,-0.928,0.08,-11865.28,-0.005082192,-0.161461047,-0.08008324,-0.227947005,-0.065401783,0.030619744,-0.014150175,0.016871626
